City,Precipitation,Happiness Score
"Fremont, CA",105.58333333333333,75.32
"Plano, TX",82,73.23
"San Jose, CA",31.166666666666668,73.2
"Irvine, CA",27.75,72.81
"Madison, WI",67,72.19
"Sioux Falls, SD",52.166666666666664,70.26
"Huntington Beach, CA",24,69.9
"Scottsdale, AZ",19.666666666666668,69.49
"Santa Rosa, CA",107.58333333333333,69.33
"Pearl City, HI",71.91666666666667,69.13
"Bismarck, ND",34.916666666666664,68.86
"Fargo, ND",44.166666666666664,68.41
"Lincoln, NE",62.333333333333336,68.33
"San Francisco, CA",80.66666666666667,68.3
"Overland Park, KS",80.91666666666667,68.23
"Santa Clarita, CA",35.75,67.86
"Oceanside, CA",23.416666666666668,67.66
"Glendale, CA",37.083333333333336,67.64
"Anaheim, CA",27,67.1
"Cape Coral, FL",110.08333333333333,66.96
"Pembroke Pines, FL",124.25,66.8
"Austin, TX",67.75,66.54
"Gilbert, AZ",17.75,66.37
"San Diego, CA",22.75,66.34
"Chula Vista, CA",19.75,66.21
"Garden Grove, CA",42.583333333333336,66.19
"Grand Prairie, TX",73.25,65.89
"Charleston, SC",102.75,65.86
"Cedar Rapids, IA",73.33333333333333,65.64
"Minneapolis, MN",61.5,65.44
"Raleigh, NC",95.16666666666667,65.2
"Aurora, CO",33.916666666666664,64.92
"Chandler, AZ",17.666666666666668,64.92
"Des Moines, IA",69.91666666666667,64.88
"Irving, TX",73.91666666666667,64.8
"Columbia, MD",91.41666666666667,64.58
"Oxnard, CA",27,64.54
"Peoria, AZ",16.916666666666668,64.49
"Oakland, CA",77.41666666666667,64.27
"St. Paul, MN",62.916666666666664,64.14
"Fort Lauderdale, FL",126.75,63.96
"Yonkers, NY",97.58333333333333,63.96
"Garland, TX",80.75,63.8
"Tempe, AZ",18.25,63.7
"Boise, ID",27.25,63.62
"Durham, NC",95.41666666666667,63.38
"Las Cruces, NM",19.333333333333332,63.01
"Aurora, IL",77.25,62.98
"Charlotte, NC",95.33333333333333,62.88
"Omaha, NE",64,62.81
"Boston, MA",93.33333333333333,62.71
"Rancho Cucamonga, CA",34.666666666666664,62.7
"Santa Ana, CA",25.166666666666668,62.65
"Denver, CO",33.666666666666664,62.6
"Seattle, WA",82.16666666666667,62.54
"Honolulu, HI",77.33333333333333,62.47
"Port St. Lucie, FL",110.66666666666667,62.21
"Nashua, NH",90.08333333333333,62.2
"Rapid City, SD",37.583333333333336,62.04
"Fort Worth, TX",69.91666666666667,61.97
"Arlington, TX",73.58333333333333,61.95
"Long Beach, CA",69.75,61.92
"Portland, ME",22.75,61.88
"Colorado Springs, CO",34.5,61.65
"Washington, DC",85.83333333333333,61.37
"Grand Rapids, MI",73.75,61.02
"Nampa, ID",22.083333333333332,60.97
"El Paso, TX",18.166666666666668,60.97
"Mesa, AZ",12.583333333333334,60.93
"Salt Lake City, UT",37.25,60.84
"Manchester, NH",87.33333333333333,60.54
"Virginia Beach, VA",94.83333333333333,60.51
"Billings, MT",29.833333333333332,60.48
"Burlington, VT",69.91666666666667,60.46
"Miami, FL",105.58333333333333,60.41
"Dallas, TX",76,59.77
"Reno, NV",18.583333333333332,59.62
"Fontana, CA",32.916666666666664,59.49
"Brownsville, TX",57.25,59.43
"Los Angeles, CA",33.25,59.42
"Chesapeake, VA",96.91666666666667,59.39
"Ontario, CA",66.58333333333333,59.39
"Riverside, CA",133.41666666666666,59.34
"Tallahassee, FL",124.91666666666667,59.25
"Lewiston, ME",94.91666666666667,59.23
"New York, NY",95.16666666666667,59.09
"Moreno Valley, CA",28.5,58.93
"Missoula, MT",32,58.83
"Jersey City, NJ",96.16666666666667,58.61
"Portland, OR",88.5,58.48
"Atlanta, GA",108.16666666666667,58.32
"Orlando, FL",104.75,58.29
"Modesto, CA",25.333333333333332,58.17
"Hialeah, FL",116,58.16
"Vancouver, WA",83.25,58.15
"Pittsburgh, PA",79.83333333333333,58.14
"Tampa, FL",97.08333333333333,57.94
"West Valley City, UT",33.75,57.67
"Sacramento, CA",37.5,57.49
"Huntsville, AL",117.33333333333333,57.32
"Cheyenne, WY",31.75,57.03
"Dover, DE",89.58333333333333,56.91
"Henderson, NV",9.583333333333334,56.32
"Glendale, AZ",15.25,56.27
"Bridgeport, CT",95.25,56.2
"Nashville, TN",101.16666666666667,56.2
"South Burlington, VT",72.16666666666667,56.1
"Anchorage, AK",34.166666666666664,55.98
"Salem, OR",86.5,55.84
"San Antonio, TX",57.75,55.62
"Houston, TX",96.33333333333333,55.56
"Winston-Salem, NC",94.91666666666667,55.55
"Chicago, IL",76.08333333333333,55.29
"Tacoma, WA",86.83333333333333,54.59
"St. Petersburg, FL",103.5,54.56
"Fort Wayne, IN",76.5,54.32
"Amarillo, TX",40.916666666666664,54.23
"Lexington-Fayette, KY",96.5,54.14
"Phoenix, AZ",17.666666666666668,54.13
"Bakersfield, CA",13.916666666666666,54.07
"Laredo, TX",35.916666666666664,53.94
"Worcester, MA",97.66666666666667,53.9
"Tucson, AZ",25,53.82
"Columbia, SC",99,53.8
"Greensboro, NC",94.16666666666667,53.78
"Warwick, RI",98.5,53.65
"Richmond, VA",90.66666666666667,53.28
"Lubbock, TX",39.333333333333336,52.98
"Springfield, MO",90.58333333333333,52.83
"San Bernardino, CA",24.75,52.49
"Casper, WY",25.416666666666668,52.41
"Albuquerque, NM",18.25,52.05
"Corpus Christi, TX",66.41666666666667,51.98
"Chattanooga, TN",115.58333333333333,51.8
"Jacksonville, FL",105.25,51.7
"Newport News, VA",94,51.4
"Columbus, OH",78.91666666666667,51.31
"Knoxville, TN",106.16666666666667,51.13
"Rochester, NY",67.75,50.84
"Fresno, CA",22.666666666666668,50.82
"Spokane, WA",38.083333333333336,50.78
"Oklahoma City, OK",70.41666666666667,50.61
"Fort Smith, AR",95.58333333333333,50.55
"Fayetteville, NC",98.91666666666667,50.53
"Wichita, KS",65.41666666666667,50.43
"Norfolk, VA",93.41666666666667,50.24
"Providence, RI",99.41666666666667,50.22
"Stockton, CA",37.416666666666664,49.99
"New Haven, CT",94.41666666666667,49.72
"North Las Vegas, NV",8,49.63
"Buffalo, NY",81.16666666666667,49.37
"Juneau, AK",147.83333333333334,49.3
"Kansas City, MO",80.33333333333333,49.26
"Las Vegas, NV",8.5,48.96
"Indianapolis, IN",84.16666666666667,48.95
"Louisville, KY",93.58333333333333,48.35
"Milwaukee, WI",67.75,48.19
"New Orleans, LA",64.66666666666667,47.64
"Wilmington, DE",91.33333333333333,47.36
"Montgomery, AL",109.5,46.79
"Baltimore, MD",90.5,46.76
"Jackson, MS",108.91666666666667,46.64
"Baton Rouge, LA",126.5,46.62
"Philadelphia, PA",92.58333333333333,46.23
"Shreveport, LA",99.58333333333333,45.6
"Columbus, GA",100.91666666666667,45.24
"Cincinnati, OH",87.33333333333333,44.79
"Newark, NJ",99,44.15
"Tulsa, OK",82.33333333333333,44.14
"Akron, OH",79.25,43.54
"St. Louis, MO",79.66666666666667,43.44
"Memphis, TN",106.5,43.42
"Mobile, AL",132.16666666666666,42.15
"Little Rock, AR",105,42.15
"Augusta, GA",95.91666666666667,42.02
"Birmingham, AL",117.33333333333333,41.43
"Gulfport, MS",132.83333333333334,41.42
"Cleveland, OH",76.91666666666667,39.36
"Huntington, WV",90,39.09
"Toledo, OH",69.91666666666667,37.99
"Charleston, WV",92.08333333333333,36.21
"Detroit, MI",68.66666666666667,29.06
